Match,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
1,casteB,random3A,casteC,random3B,casteA,random3C
2,rotateB,rotateA,rotate0C,rotate0B,rotateC,rotate0A
3,random3C,randomC,randomA,randomB,random3A,random3B
4,randomB,rotate0A,randomC,rotate0B,randomA,rotate0C
5,casteB,turntakingA,turntakingC,casteA,casteC,turntakingB
6,challengerC,random3A,challengerA,random3C,random3B,challengerB
7,casteC,casteB,casteC,casteA,casteB,casteA
8,random3C,rotate0A,rotate0C,random3A,random3B,rotate0B
9,turntakingA,turntakingB,challengerB,challengerC,turntakingC,challengerA
10,random3B,rotateA,random3A,rotateC,rotateB,random3C
11,random3C,rotateB,rotateA,random3B,rotateC,random3A
12,randomC,radicaleqA,radicaleqB,radicaleqC,randomA,randomB
13,randomA,randomC,random3C,random3A,random3B,randomB
14,randomA,rotate0C,rotate0B,randomB,rotate0A,randomC
15,turntakingC,randomB,turntakingB,turntakingA,randomC,randomA
16,randomC,radicaleqA,randomA,randomB,radicaleqB,radicaleqC
17,random3B,rotate0A,random3C,rotate0B,random3A,rotate0C
18,radicaleqB,radicaleqC,challengerC,radicaleqA,challengerB,challengerA
19,random3C,random3B,random3A,random3C,random3B,random3A
20,challengerB,challengerA,casteC,casteB,challengerC,casteA
21,radicaleqC,radicaleqB,radicaleqC,radicaleqA,radicaleqA,radicaleqB
22,casteA,casteA,casteC,casteB,casteB,casteC
23,turntakingB,turntakingA,equalizeC,equalizeB,turntakingC,equalizeA
24,rotateB,random3A,rotateC,random3B,rotateA,random3C
25,challengerA,turntakingC,turntakingB,challengerB,turntakingA,challengerC
26,rotateA,rotateC,rotateB,rotateC,rotateB,rotateA
27,equalizeB,equalizeA,rotate0C,rotate0B,equalizeC,rotate0A
28,challengerC,randomB,challengerB,challengerA,randomC,randomA
29,equalizeC,radicaleqB,equalizeB,equalizeA,radicaleqC,radicaleqA
30,randomA,randomB,turntakingB,turntakingC,randomC,turntakingA
31,challengerB,turntakingA,challengerC,turntakingB,challengerA,turntakingC
32,rotateC,randomA,rotateA,randomC,randomB,rotateB
33,rotate0A,rotate0C,turntakingC,turntakingA,turntakingB,rotate0B
34,equalizeB,random3A,equalizeC,random3B,equalizeA,random3C
35,casteC,casteA,casteA,casteC,casteB,casteB
36,rotateA,equalizeC,equalizeB,rotateB,equalizeA,rotateC
37,challengerC,random3C,random3A,random3B,challengerA,challengerB
38,rotate0A,rotate0A,rotate0C,rotate0C,rotate0B,rotate0B
39,turntakingA,casteC,casteB,turntakingB,casteA,turntakingC
40,challengerC,rotate0C,rotate0A,rotate0B,challengerA,challengerB
41,rotate0C,rotate0B,rotate0C,rotate0A,rotate0A,rotate0B
42,turntakingA,turntakingB,rotateC,turntakingC,rotateA,rotateB
43,casteC,rotateC,rotateA,rotateB,casteA,casteB
44,equalizeA,equalizeB,radicaleqC,equalizeC,radicaleqA,radicaleqB
45,rotate0A,rotate0B,random3B,random3C,rotate0C,random3A
46,casteC,casteB,casteA,equalizeB,equalizeC,equalizeA
47,challengerA,challengerC,challengerB,challengerA,challengerB,challengerC
48,rotate0B,rotate0B,rotate0C,rotate0A,rotate0C,rotate0A
49,equalizeA,equalizeC,rotate0B,rotate0A,rotate0C,equalizeB
50,rotate0B,casteA,rotate0A,casteC,casteB,rotate0C
51,rotate0B,rotate0C,equalizeC,rotate0A,equalizeB,equalizeA
52,randomC,casteA,casteB,casteC,randomA,randomB
53,turntakingC,turntakingB,turntakingA,turntakingC,turntakingA,turntakingB
54,radicaleqB,rotateA,rotateC,radicaleqA,radicaleqC,rotateB
55,casteA,randomC,randomB,casteB,randomA,casteC
56,turntakingA,turntakingB,radicaleqC,turntakingC,radicaleqA,radicaleqB
57,casteB,casteA,radicaleqC,radicaleqB,casteC,radicaleqA
58,turntakingA,turntakingC,rotate0B,rotate0A,rotate0C,turntakingB
59,rotateC,randomB,rotateB,rotateA,randomC,randomA
60,turntakingA,turntakingB,randomC,turntakingC,randomA,randomB
61,randomC,challengerB,randomB,challengerA,randomA,challengerC
62,rotate0C,equalizeB,rotate0B,equalizeA,rotate0A,equalizeC
63,challengerB,challengerA,challengerB,challengerC,challengerC,challengerA
64,rotateC,rotateB,rotateA,rotate0B,rotate0C,rotate0A
65,casteB,challengerA,casteA,challengerC,challengerB,casteC
66,casteB,casteA,casteC,casteB,casteC,casteA
67,challengerA,radicaleqC,radicaleqB,challengerB,radicaleqA,challengerC
68,radicaleqB,radicaleqC,radicaleqB,radicaleqC,radicaleqA,radicaleqA
69,radicaleqA,radicaleqB,radicaleqC,radicaleqC,radicaleqB,radicaleqA
70,equalizeC,equalizeA,equalizeC,equalizeA,equalizeB,equalizeB
71,radicaleqC,turntakingA,turntakingB,turntakingC,radicaleqA,radicaleqB
72,equalizeC,turntakingA,turntakingB,turntakingC,equalizeA,equalizeB
73,random3A,random3C,turntakingC,turntakingA,turntakingB,random3B
74,rotateC,random3A,random3C,rotateA,rotateB,random3B
75,turntakingC,random3B,turntakingB,turntakingA,random3C,random3A
76,challengerB,challengerC,challengerA,challengerC,challengerB,challengerA
77,radicaleqB,random3A,radicaleqC,random3B,radicaleqA,random3C
78,challengerC,casteA,challengerA,casteC,casteB,challengerB
79,casteC,casteA,casteB,casteA,casteC,casteB
80,random3C,radicaleqB,random3B,radicaleqA,random3A,radicaleqC
81,randomA,randomC,randomB,randomB,randomC,randomA
82,rotate0A,rotate0C,casteC,casteA,casteB,rotate0B
83,rotate0C,turntakingA,turntakingB,turntakingC,rotate0A,rotate0B
84,equalizeC,equalizeB,equalizeA,randomB,randomC,randomA
85,challengerC,equalizeA,challengerA,equalizeC,equalizeB,challengerB
86,random3C,equalizeA,equalizeB,equalizeC,random3A,random3B
87,challengerA,challengerC,challengerC,challengerB,challengerA,challengerB
